职业代码,职业名称,职业说明,职业任务
1-01-00-01,中国共产党机关负责人,在中国共产党中央和地方各级机关及其工作机构中，担任领导职务的人员。,
1-01-00-02,中国共产党基层组织负责人,在企业、农村、机关、学校、科研院所、街道社区、社会组织等基层单位中国共产党组织中，担任领导职务的人员。,
1-02,国家机关负责人,在各级人民代表大会常务委员会、国家行政机关、人民政协及其工作机构，人民法院和人民检察院中，担任领导职务，具有决策和管理职权的人员。,
1-02-01 (GBM 10201),国家权力机关负责人,在各级人民代表大会常务委员会及其工作机构中，担任领导职务并具有决策、管理职权的人员。,"['常务委员会负责人主要处理常务委员会的重要日常工作。', '工作机构负责人主要为常务委员会会议和人民代表大会会议服务。']"
1-02-02 (GBM 10202),国家行政机关负责人,在各级国家行政机关及其工作机构中，担任领导职务并具有决策、管理职权的人员。,"['领导所属各部门的工作，召集和主持本级行政机关会议。', '签署有关法规、政策、请示、报告、命令等重要文件。', '处理其他日常工作。']"
1-02-03 (GBM 10203),人民政协机关负责人,在各级人民政协及其工作机构中，担任领导职务并具有决策、管理职权的人员。,"['人民政协负责人主持政协及常务委员会工作。', '工作机构负责人主要负责政协机关工作。']"
1-02-04 (GBM 10204),监察机关负责人,在各级监察机关中，担任领导职务并具有决策、管理职权的人员。,[]
1-02-05 (GBM 10205),人民法院和人民检察院负责人,,[]
1-03-00,民主党派和工商联负责人,在中国国民党革命委员会、中国民主同盟、中国民主建国会、中国民主促进会、中国农工民主党、中国致公党、九三学社、台湾民主自治同盟和中华全国工商业联合会各级组织机构中，担任领导职务并具有决策、管理职权的人员。,"['在中国共产党的领导下，根据中国共产党的路线、方针和重大政策，组织制定各自政党的工作指导方针、目标和任务;', ""贯彻执行'长期共存，互相监督，肝胆相照，荣辱与共' 的方针，组织和领导其成员履行参政议政和民主监督职能;"", '围绕国家的中心任务，组织和领导其成员开展为建设有中国特色社会主义服务和促进祖国和平统一的各项活动;', '依照法律和各自政党的章程，独立自主地开展工作，反映其成员和所联系群众的合法利益和合理要求，维护其合法权益;', '加强各自政党的领导班子建设、思想建设和组织建设，开展思想政治工作，根据民主集中制原则，定期召开委员会会议，集体讨论决定重大事项.']"
1-03-00-01,民主党派负责人,在中国国民党革命委员会、中国民主同盟、中国民主建国会、中国民主促进会、中国农工民主党、中国致公党、九三学社、台湾民主自治同盟各级组织机构中，担任领导职务并具有决策、管理职权的人员。,"['在中国共产党的领导下，根据中国共产党的路线、方针和重大政策，组织制定各自政党的工作指导方针、目标和任务;', ""贯彻执行'长期共存，互相监督，肝胆相照，荣辱与共' 的方针，组织和领导其成员履行参政议政和民主监督职能;"", '围绕国家的中心任务，组织和领导其成员开展为建设有中国特色社会主义服务和促进祖国和平统一的各项活动;', '依照法律和各自政党的章程，独立自主地开展工作，反映其成员和所联系群众的合法利益和合理要求，维护其合法权益;', '加强各自政党的领导班子建设、思想建设和组织建设，开展思想政治工作，根据民主集中制原则，定期召开委员会会议，集体讨论决定重大事项.']"
